"Model","beta","focal","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Spain","F","CETE",9,1128.64759094453,1.0470227352135,1.10707737481061,1152.59208249125,1,-554.323795472264
"Spain","T","CETE",35,1141.24030866292,0.958417525958268,7.13148156921305,1227.44047823113,1,-534.62015433146
"Spain","F","CETE",9,1176.39555422933,1.047795540937,0.893000838498697,1200.70372221776,2,-578.197777114663
"Spain","T","CETE",36,1189.79414015622,0.980713492543446,1.12368635260961,1279.73436171342,2,-557.897070078108
"Spain","F","CETE",9,1081.75370673238,0.975587102027785,1.04046287862051,1105.19176095092,3,-530.876853366191
"Spain","T","CETE",34,1073.29515973272,0.961302959467844,2.53782072519083,1155.3283494976,3,-501.647579866361
"Spain","F","CETE",9,1169.12825885776,1.0001358134088,0.829224267294128,1193.31666493573,4,-574.56412942888
"Spain","T","CETE",36,1171.64243829301,0.923076963700073,1.38599476532628,1261.13954078148,4,-548.821219146505
"Spain","F","CETE",9,1098.49496237253,1.04645037825538,0.783154617187054,1122.1894408972,5,-539.247481186265
"Spain","T","CETE",35,1115.57731095217,0.94911223742536,0.943931537382793,1200.87743364098,5,-521.788655476086
"Spain","F","CHFU",11,1193.80817913693,1.08946581301156,0.60609403317823,1225.18962533902,1,-584.904089568465
"Spain","T","CHFU",39,1234.41518841034,1.08027867330679,0.603936027348506,1339.02000908399,1,-577.207594205168
"Spain","F","CHFU",11,1131.21874346084,1.02948091596652,0.543257944375325,1161.99092175845,2,-553.609371730418
"Spain","T","CHFU",39,1156.6423365779,1.06716728406379,1.01387268022179,1259.21626423661,2,-538.321168288949
"Spain","F","CHFU",11,1160.77880571968,1.04567577521772,0.521053705870708,1191.92024392129,3,-568.389402859838
"Spain","T","CHFU",39,1197.49559666488,1.12113841535645,0.589685611584872,1301.30039067026,3,-558.74779833244
"Spain","F","CHFU",11,1083.0670556694,1.08891191654594,0.791713082945749,1113.32851859399,4,-529.533527834702
"Spain","T","CHFU",38,1119.7705047777,1.07442638312626,0.950788516487954,1218.12025928261,4,-520.885252388851
"Spain","F","CHFU",11,1236.54904618758,1.05655730808963,0.501388908370321,1268.28173697728,5,-606.274523093792
"Spain","T","CHFU",39,1269.41421180819,1.07550021287849,2.0617861321564,1375.18984777384,5,-594.707105904095
"Spain","F","CHMI",7,257.482811506635,1.13215884339988,0.736866412814589,265.448669695067,1,-120.741405753318
"Spain","T","CHMI",22,263.086766538557,1.03440194263673,13.5077786654923,285.988608830299,1,-108.543383269279
"Spain","F","CHMI",7,326.938236267391,1.16588051427689,0.668977731916505,336.362666910174,2,-155.469118133695
"Spain","T","CHMI",23,331.248624573758,1.02921346630608,194.070342263369,359.521916502109,2,-141.624312286879
"Spain","F","CHMI",7,305.042490679128,1.2402292031738,0.632244102346745,314.126444406561,3,-144.521245339564
"Spain","T","CHMI",21,315.501412922968,1.19664553471317,3.74992080086107,340.482285673409,3,-135.750706461484
"Spain","F","CHMI",7,324.910107100144,1.13972356373834,0.674487872228176,334.334537742928,4,-154.455053550072
"Spain","T","CHMI",23,337.262643722411,1.21315999881085,1.52585929454846,365.535935650761,4,-144.631321861205
"Spain","F","CHMI",7,331.684863677149,1.1130576936875,1.41450268664018,341.435870276094,5,-157.842431838574
"Spain","T","CHMI",22,310.840341137593,1.0366497059342,13.9109897646472,338.874485109562,5,-132.420170568796
"Spain","F","HOMA",8,1230.70681254831,1.17029649596774,0.455840756258908,1259.03426283963,1,-606.353406274156
"Spain","T","HOMA",28,1240.14412596768,1.10252720272051,0.501813529700585,1331.42146579527,1,-591.072062983839
"Spain","F","HOMA",8,1252.92461485994,1.18380897625608,0.453489755827797,1281.40768862525,2,-617.462307429971
"Spain","T","HOMA",28,1265.68570319755,1.119590216444,0.448423030803798,1357.46449644133,2,-603.842851598773
"Spain","F","HOMA",8,1263.45952073713,1.16040695847078,0.460706131534145,1291.99387669247,3,-622.729760368564
"Spain","T","HOMA",28,1280.17006331821,1.13067170947327,0.49477334256328,1372.11409917431,3,-611.085031659103
"Spain","F","HOMA",8,1215.36092609997,1.18194076045263,0.448791862749868,1243.53001453427,4,-598.680463049983
"Spain","T","HOMA",29,1226.34913034825,1.09283947669977,0.519234233875069,1320.24609179594,4,-583.174565174123
"Spain","F","HOMA",8,1232.51872960612,1.16363261957033,0.472766389896043,1260.84617989744,5,-607.259364803061
"Spain","T","HOMA",29,1228.66177457381,1.01716338516569,0.602384981568061,1323.08660887821,5,-584.330887286905
"Spain","F","LEMA",11,1718.47954814822,0.999614847303764,0.523606881240531,1755.75089383503,1,-847.23977407411
"Spain","T","LEMA",46,1746.11308534251,1.04406235249409,1.6182281130963,1892.09252261584,1,-826.056542671257
"Spain","F","LEMA",11,1744.42543746925,1.03237501170121,0.511954550710491,1781.76929092953,2,-860.212718734625
"Spain","T","LEMA",51,1781.04804341501,1.03991894221628,0.543175988052925,1942.87140840955,2,-838.524021707504
"Spain","F","LEMA",11,1714.99585132241,1.03993640571027,0.547979855485712,1752.1942484563,3,-845.497925661203
"Spain","T","LEMA",49,1749.35056344635,1.03683110970929,0.840178397100335,1904.34388483756,3,-824.675281723177
"Spain","F","LEMA",11,1752.05566169248,1.07676067428203,0.617677772676183,1789.47158744148,4,-864.027830846239
"Spain","T","LEMA",49,1785.76570021821,1.09045248936412,2.27864261597859,1941.66539083905,4,-842.882850109107
"Spain","F","LEMA",11,1752.06322465876,1.01656319381014,0.551113395556283,1789.40707811904,5,-864.031612329381
"Spain","T","LEMA",49,1783.35373068608,1.05254360509687,0.560847972877773,1938.9531201039,5,-841.676865343039
"Spain","F","LYTR",8,593.358138736607,1.10922576421735,0.774783451268962,609.208939777849,1,-287.679069368304
"Spain","T","LYTR",25,591.65866645945,1.10829570850803,4.09251195158739,637.449869467482,1,-269.829333229725
"Spain","F","LYTR",8,634.193861074143,0.924715842457874,1.00551434036736,650.845189489534,2,-308.096930537072
"Spain","T","LYTR",24,626.323649003589,1.02293319947942,2.15855239732007,672.577339046341,2,-288.161824501795
"Spain","F","LYTR",8,673.316914582845,1.00967145971828,0.618692956526571,690.157723681016,3,-327.658457291423
"Spain","T","LYTR",25,667.761245536522,1.12300058310851,2.22586860201549,716.412471820127,3,-307.880622768261
"Spain","F","LYTR",8,684.908991080903,1.04024184645808,1.0115371947375,701.935373763898,4,-333.454495540451
"Spain","T","LYTR",25,671.07682348552,1.07732339914974,0.991090975480031,720.264151236397,4,-309.53841174276
"Spain","F","LYTR",8,679.901537188447,1.06590506563699,0.427063705707144,696.927919871443,5,-330.950768594223
"Spain","T","LYTR",24,668.999440784376,1.12440498155812,2.30929397384953,716.294948237142,5,-309.499720392188
"Spain","F","PAIN",7,1191.52357037021,1.01449779214518,0.502334783982751,1215.97353681299,1,-587.761785185104
"Spain","T","PAIN",22,1196.41517847332,1.01353541764099,0.751298024894078,1266.70883199633,1,-575.207589236662
"Spain","F","PAIN",7,1183.74276223591,1.00019861197457,0.516557358897323,1208.24352250012,2,-583.871381117954
"Spain","T","PAIN",22,1192.86622339812,0.991896118499118,0.503298314519472,1263.30590915774,2,-573.433111699059
"Spain","F","PAIN",7,1175.35186257882,1.01575527316613,0.646289746728205,1199.8018290216,3,-579.675931289408
"Spain","T","PAIN",20,1182.14630034817,1.00716736600651,0.620924266080788,1246.32746226048,3,-570.073150174083
"Spain","F","PAIN",7,1206.85009157822,0.996588279097072,0.384273737815188,1231.35085184244,4,-595.425045789112
"Spain","T","PAIN",22,1218.30595398249,0.998687183978266,0.522134015485667,1288.74563974211,4,-586.152976991246
"Spain","F","PAIN",7,1202.94049332692,0.980286408405696,0.400798459256784,1227.44125359114,5,-593.470246663461
"Spain","T","PAIN",22,1210.94681406056,0.990073416853094,0.413042022228651,1281.38649982018,5,-582.473407030281
"Spain","F","PLCO",6,561.540795523364,1.0513621625914,0.342297236927372,577.379554662653,1,-273.770397761682
"Spain","T","PLCO",16,577.390443432012,1.04731657044171,0.707135071265118,615.856001341714,1,-271.695221716006
"Spain","F","PLCO",6,558.480089630825,1.07049689660359,0.306634061000286,574.219556325171,2,-272.240044815412
"Spain","T","PLCO",16,561.292591882276,1.03374034340012,0.379958113769248,599.517010997115,2,-263.646295941138
"Spain","F","PLCO",6,574.603997773909,1.07511353037885,0.272604935057159,590.540660607022,3,-280.301998886955
"Spain","T","PLCO",16,577.093716637024,1.04027612019876,0.360546679501561,615.797040660297,3,-271.546858318512
"Spain","F","PLCO",6,548.802924116548,1.0547318058072,0.357622043745156,564.542390810894,4,-267.401462058274
"Spain","T","PLCO",16,550.640913031088,1.00263568932536,0.443194276614654,588.865332145927,4,-258.320456515544
"Spain","F","PLCO",6,570.378385458654,1.07303596128372,0.381157945214964,586.411601546693,5,-278.189192729327
"Spain","T","PLCO",16,577.478399036594,1.02069220641967,0.447427802552749,616.416209536117,5,-271.739199518297
"Spain","F","POMA",6,1811.18717475253,1.24303526261823,0.506138868458698,1833.30056184703,1,-898.593587376263
"Spain","T","POMA",16,1792.31208354741,1.1112777934024,0.501943326186199,1846.01602363405,1,-879.156041773704
"Spain","F","POMA",6,1864.90137807035,1.21874898919044,0.433989340523463,1887.09476603561,2,-925.450689035173
"Spain","T","POMA",16,1842.90383619411,1.08686617750659,0.635844234200613,1896.80206410976,2,-904.451918097054
"Spain","F","POMA",6,1839.38993191769,1.28281709185232,0.515610715295602,1861.62298004571,3,-912.694965958845
"Spain","T","POMA",16,1819.34339257319,1.13457727214013,0.504852549599206,1873.33793802695,3,-892.671696286596
"Spain","F","POMA",6,1843.53811744616,1.2517575694419,0.500844992729219,1865.73150541143,4,-914.769058723081
"Spain","T","POMA",15,1823.74684659594,1.1058406493168,0.534657657011677,1874.47459051655,4,-895.87342329797
"Spain","F","POMA",6,1853.39587241029,1.22493630671527,0.513086637914277,1875.62892053831,5,-919.697936205145
"Spain","T","POMA",16,1823.67696652286,1.08156442344365,0.514728760735519,1877.67151197661,5,-894.838483261429
"Spain","F","PUPA",9,2371.09025166792,1.11629559590059,0.751270872231975,2402.14970640693,1,-1175.54512583396
"Spain","T","PUPA",39,2390.70993528268,1.12891401791426,0.962040842370394,2514.9477542387,1,-1155.35496764134
"Spain","F","PUPA",9,2412.08592169833,1.14421492294767,0.929276584747254,2443.2658598225,2,-1196.04296084917
"Spain","T","PUPA",35,2433.78460632916,1.14816220715483,1.4440005982337,2546.03238357616,2,-1180.89230316458
"Spain","F","PUPA",9,2329.77637406081,1.17613335460261,0.813409270473387,2360.71387606888,3,-1154.8881870304
"Spain","T","PUPA",39,2357.05712191791,1.17667136517334,0.864687817674663,2480.80712995018,3,-1138.52856095895
"Spain","F","PUPA",9,2335.39996028684,1.12681558075154,0.924502158864882,2366.27592363916,4,-1157.69998014342
"Spain","T","PUPA",39,2361.59623302516,1.08630991747059,1.20933822696758,2485.10008643445,4,-1140.79811651258
"Spain","F","PUPA",9,2353.12498863258,1.18528326978709,0.697274895705467,2384.06249064064,5,-1166.56249431629
"Spain","T","PUPA",39,2381.94817930659,1.20085369363534,0.83884417926645,2505.69818733886,5,-1150.9740896533
"Spain","F","SASO",5,828.252514625039,1.71248149526195,1.7415202673229,847.206846420326,1,-408.126257312519
"Spain","T","SASO",14,730.976991385762,1.14082335050677,1.90376565464183,778.36282087398,1,-350.488495692881
"Spain","F","SASO",5,882.678269915672,1.61319050280844,1.76931883438316,901.493060537973,2,-435.339134957836
"Spain","T","SASO",14,775.013587838965,1.091757453471,2.08114610575059,822.050564394719,2,-372.506793919483
"Spain","F","SASO",5,792.970826706469,1.39560963443369,4.73721472617053,811.925158501756,3,-390.485413353235
"Spain","T","SASO",14,685.089344159751,0.948545206651384,4.70366057306213,732.475173647969,3,-327.544672079875
"Spain","F","SASO",5,824.876361910686,1.43775630357413,4.63539142431964,843.691152532988,4,-406.438180955343
"Spain","T","SASO",14,719.075592743824,1.00201363105166,4.38014583618839,766.112569299578,4,-344.537796371912
"Spain","F","SASO",5,835.571039415193,1.45089007748433,1.90566489465573,854.593943385422,5,-411.785519707596
"Spain","T","SASO",13,726.641710940801,0.984787077472892,1.97297361994314,771.028486871335,5,-349.3208554704
"Spain","F","SCLA",9,236.670232107715,1.02283823617735,0.441845754683796,249.628600767758,1,-108.335116053857
"Spain","T","SCLA",23,256.44786413419,0.98302957141592,0.535471561377098,287.547948918294,1,-104.223932067095
"Spain","F","SCLA",9,228.927351581221,1.01654614035197,0.506231753151956,241.508316961435,2,-104.46367579061
"Spain","T","SCLA",22,245.695219609806,0.973305045713169,0.50133490454741,274.6314399843,2,-99.847609804903
"Spain","F","SCLA",9,190.792688963206,1.03685365877989,0.460918739805715,201.703113496789,3,-85.396344481603
"Spain","T","SCLA",23,207.549611274362,0.881828443390876,0.837827069816939,233.734630154961,3,-79.7748056371808
"Spain","F","SCLA",7,226.75884019115,1.0268807011299,0.48617582376882,236.823612495322,4,-105.379420095575
"Spain","T","SCLA",19,241.665123439422,0.995685103042578,0.857862450027853,266.827054199852,4,-100.832561719711
"Spain","F","SCLA",9,230.530730633354,1.0076549012719,0.626064674651453,243.489099293397,5,-105.265365316677
"Spain","T","SCLA",22,248.325386392474,0.954263358987546,0.789853651577106,278.129634310574,5,-101.162693196237
"Australia","F","Aira.caryophylla",16,754.353494054415,1.14714461479518,1.01082124068236,792.577913169254,1,-360.176747027207
"Australia","T","Aira.caryophylla",66,780.236440107876,0.958514650479518,4.92251311727859,930.885621325183,1,-323.118220053938
"Australia","F","Aira.caryophylla",16,798.239570899426,1.1083890800732,0.693833736328473,837.408677483897,2,-382.119785449713
"Australia","T","Aira.caryophylla",68,834.858360517632,0.9572840189562,2.13276560767818,993.83885194872,2,-348.429180258816
"Australia","F","Aira.caryophylla",16,779.826651910917,1.14031461092985,1.13752786228466,818.76446241044,3,-372.913325955459
"Australia","T","Aira.caryophylla",67,820.438292092171,0.994408199828865,33.5875293452035,976.189534090262,3,-342.219146046086
"Australia","F","Aira.caryophylla",16,833.0061705517,1.10498845371031,1.17746988836523,873.711806181132,4,-399.50308527585
"Australia","T","Aira.caryophylla",72,898.631551374849,1.03519508022098,9.73995887659453,1073.42633966594,4,-376.315775687424
"Australia","F","Aira.caryophylla",16,790.242348660302,1.09109142807526,1.05595714305971,829.411455244773,5,-378.121174330151
"Australia","T","Aira.caryophylla",69,834.159720016469,0.90838068612769,27.6062600230185,995.444276540761,5,-347.079860008235
"Australia","F","Hypochaeris.glabra",20,1797.48182567635,0.980811707596313,1.08622511082187,1858.33646147531,1,-877.740912838173
"Australia","T","Hypochaeris.glabra",105,1851.30198362085,0.870259066920055,61.1252825708206,2158.47300241565,1,-819.650991810425
"Australia","F","Hypochaeris.glabra",20,1820.98051908828,1.02457313214193,1.2182374738623,1882.14627168874,2,-889.490259544142
"Australia","T","Hypochaeris.glabra",107,1853.18343414292,0.892860343635179,342.246106913135,2167.75016180241,2,-818.59171707146
"Australia","F","Hypochaeris.glabra",20,1826.04155100889,0.9835606658217,1.14365101968068,1887.20730360935,3,-892.020775504447
"Australia","T","Hypochaeris.glabra",102,1876.65760210478,0.871521344630355,3927.8081273631,2176.66105533559,3,-835.32880105239
"Australia","F","Hypochaeris.glabra",20,1836.39742672145,1.00543648593711,1.10314218462759,1897.56317932191,4,-897.198713360724
"Australia","T","Hypochaeris.glabra",102,1866.08059294529,0.845336891148666,83.2399469078492,2166.0840461761,4,-830.040296472644
"Australia","F","Hypochaeris.glabra",20,1758.30391559682,1.01323870465271,1.13706194349665,1819.15855139579,5,-858.151957798412
"Australia","T","Hypochaeris.glabra",105,1815.5174398072,0.889532363491712,329580639550658,2122.688458602,5,-801.7587199036
"Australia","F","Podotheca.gnaphalioides",14,656.367037485812,1.00532776445285,1.54805887378855,685.047382567234,1,-313.183518742906
"Australia","T","Podotheca.gnaphalioides",53,673.234028198762,0.916443957077937,7.543023111197,776.483270491881,1,-282.617014099381
"Australia","F","Podotheca.gnaphalioides",14,731.203254261624,0.918452013622569,1.22543773153517,761.038014960088,2,-350.601627130812
"Australia","T","Podotheca.gnaphalioides",53,741.40178741188,0.759077253931508,56.7538931666357,848.806925926351,2,-316.70089370594
"Australia","F","Podotheca.gnaphalioides",14,657.959336413617,0.895407514920243,1.57625657546966,686.336640885277,3,-313.979668206809
"Australia","T","Podotheca.gnaphalioides",50,682.391493310442,0.79076654873206,11.0880073299499,778.874328514084,3,-290.195746655221
"Australia","F","Podotheca.gnaphalioides",14,653.39417717134,0.900808546214561,1.54277157515949,681.146391196991,4,-311.69708858567
"Australia","T","Podotheca.gnaphalioides",47,675.959019665248,0.740546857200491,7.47210675582451,764.76610454733,4,-289.979509832624
"Australia","F","Podotheca.gnaphalioides",14,759.376080491855,0.93515610306743,0.732493548577071,789.756355852882,5,-364.688040245927
"Australia","T","Podotheca.gnaphalioides",49,764.271441097458,0.789407292888672,3.65809293099555,865.539025634215,5,-332.135720548729
"Australia","F","Trachymene.ornata",18,1526.40794272755,0.996757059073604,0.8729355601675,1583.73625962703,1,-744.203971363775
"Australia","T","Trachymene.ornata",83,1557.06954562607,0.999505762251145,34.2102505182022,1810.52105191853,1,-694.534772813037
"Australia","F","Trachymene.ornata",18,1546.51265125616,1.0362368989768,0.60914868317006,1604.09097176262,2,-754.256325628081
"Australia","T","Trachymene.ornata",83,1571.33131154461,1.01252032975557,5.69505492287754,1825.88809694158,2,-701.665655772307
"Australia","F","Trachymene.ornata",18,1536.47709172833,1.0420821982287,0.772649319101697,1593.93082162441,3,-749.238545864167
"Australia","T","Trachymene.ornata",81,1555.24344780059,1.031386808676,1.26274379935148,1803.20165050998,3,-695.621723900295
"Australia","F","Trachymene.ornata",18,1479.38601752292,1.00185487962694,0.861294834855941,1536.58808811075,4,-720.693008761462
"Australia","T","Trachymene.ornata",84,1492.88825736084,0.961004793082294,6.67370058561731,1748.79225735902,4,-661.444128680419
"Australia","F","Trachymene.ornata",18,1510.66607384104,1.00565456284916,0.784404857870996,1567.86814442887,5,-736.33303692052
"Australia","T","Trachymene.ornata",82,1542.54224237777,1.0162548978671,2.07023197005138,1792.42497178776,5,-688.271121188884
"Australia","F","Ursinia.anthemoides",15,729.229867511513,1.0737006997396,1.77790480442151,762.739380507067,1,-348.614933755757
"Australia","T","Ursinia.anthemoides",54,758.2543844616,0.922825515312132,5.04485873431798,873.443335383816,1,-324.1271922308
"Australia","F","Ursinia.anthemoides",15,766.114927813149,1.02284338859999,1.78319755718978,800.149077973871,2,-367.057463906575
"Australia","T","Ursinia.anthemoides",55,771.106263785107,0.874822123808222,5.53941574165631,890.225789347632,2,-329.553131892553
"Australia","F","Ursinia.anthemoides",15,656.366802922465,1.04121309714422,1.37137057764054,688.190547667494,3,-312.183401461233
"Australia","T","Ursinia.anthemoides",48,676.722345272287,0.821820593322519,2.76607013229943,774.182563553936,3,-289.361172636143
"Australia","F","Ursinia.anthemoides",15,797.709070995716,1.02767675576523,1.21305996353624,832.499267314047,4,-382.854535497858
"Australia","T","Ursinia.anthemoides",56,811.420929494814,0.837756853194062,13.1743235802426,935.361003878866,4,-348.710464747407
"Australia","F","Ursinia.anthemoides",15,712.716908278925,1.06255624515786,1.04859714346775,745.957507381416,5,-340.358454139462
"Australia","T","Ursinia.anthemoides",52,754.912394781138,0.964530474357028,2.53863371270051,865.021879308141,5,-324.456197390569
"Australia","F","Waitzia.acuminata",19,2331.26454990673,1.12193729135322,1.33498394414036,2391.20879538201,1,-1145.63227495336
"Australia","T","Waitzia.acuminata",91,2401.12172283876,1.11106471008854,7.53900072343082,2676.86525202505,1,-1108.56086141938
"Australia","F","Waitzia.acuminata",19,2331.64875285019,1.18489052481702,1.34450200983482,2391.7276789691,2,-1145.82437642509
"Australia","T","Waitzia.acuminata",94,2398.43784760921,1.16742948462344,3.90365630120918,2683.81274667403,2,-1104.21892380461
"Australia","F","Waitzia.acuminata",19,2275.48775581199,1.16582655461591,0.811444175945037,2335.0224306604,3,-1117.74387790599
"Australia","T","Waitzia.acuminata",90,2322.97493872587,1.12289017532389,15.0071945106402,2593.85770928614,3,-1070.48746936293
"Australia","F","Waitzia.acuminata",19,2270.45791036657,0.990558022120875,1.11019763538121,2329.99258521499,4,-1115.22895518329
"Australia","T","Waitzia.acuminata",89,2305.12032583715,0.995014820362566,13.2647359636545,2573.02636265501,4,-1062.56016291858
"Australia","F","Waitzia.acuminata",19,2291.92621119982,1.16856282331037,1.29615530282231,2351.46088604823,5,-1125.96310559991
"Australia","T","Waitzia.acuminata",87,2358.17210309508,1.12038927290516,3.44100926229844,2620.12467242809,5,-1091.08605154754
